County,Bioregion
Alameda,BayDelta
Butte,SacramentoValley
Calaveras,Sierra
Colusa,SacramentoValley
ContraCosta,BayDelta
Fresno,SanJoaquinValley
Glenn,SacramentoValley
Imperial,ColoradoDesert
Inyo,Sierra
Kern,SanJoaquinValley
Kings,SanJoaquinValley
Lake,Klamath
LosAngeles,SouthCoast
Madera,SanJoaquinValley
Marin,BayDelta
Merced,SanJoaquinValley
Monterey,CentralCoast
Napa,BayDelta
Nevada,Sierra
Orange,SouthCoast
Placer,Sierra
Riverside,SouthCoast
Sacramento,SacramentoValley
SanBenito,CentralCoast
SanBernardino,SouthCoast
SanDiego,SouthCoast
SanFrancisco,BayDelta
SanJoaquin,BayDelta
SanLuisObispo,CentralCoast
SanMateo,BayDelta
SantaBarbara,CentralCoast
SantaClara,BayDelta
SantaCruz,CentralCoast
Shasta,Klamath
Solano,BayDelta
Sonoma,BayDelta
Stanislaus,SanJoaquinValley
Sutter,SacramentoValley
Tehama,SacramentoValley
Tulare,SanJoaquinValley
Ventura,SouthCoast
Yolo,SacramentoValley
Yuba,SacramentoValley